college02,num_weight,experience02,parentrelations,height_total_inches,sex,married02,cocaine,urbanrural,race,y_arrestedafter2002,nshot_summary_text
enrolled in a 2-year college,172,3,"biological mother, other parent present",62,female,"never married, not cohabiting",False,rural,black,False,"current education status is enrolled in a 2-year college, and weight in pounds is 172, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 62, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is black"
"not enrolled, no high school degree, no GED",140,1,"biological mother, marital status unknown",65,male,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, high school degree",120,2,Unknown,64,female,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, high school degree, and weight in pounds is 120, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 64, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, GED",190,1,both biological parents,71,male,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, GED, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",210,3,both biological parents,71,male,"divorced, not cohabiting",False,urban,hispanic,False,"current education status is not enrolled, high school degree, and weight in pounds is 210, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71, and sex is male, and current marriage status is divorced, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
"not enrolled, no high school degree, no GED",212,2,"biological mother, marital status unknown",66,female,"never married, cohabiting",True,urban,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 212, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, GED",160,2,Unknown,69,male,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, GED, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, no high school degree, no GED",165,1,both biological parents,64,female,"married, spouse present",False,rural,white,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 64, and sex is female, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
enrolled in a 4-year college,155,0,both biological parents,70,male,"never married, not cohabiting",True,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 155, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, GED",160,1,adoptive parent(s),69,female,"never married, cohabiting",True,urban,white,False,"current education status is not enrolled, GED, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 69, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, GED",205,5,both biological parents,70,male,"never married, not cohabiting",True,urban,white,True,"current education status is not enrolled, GED, and weight in pounds is 205, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,190,2,both biological parents,72,male,"married, spouse present",False,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 190, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72, and sex is male, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",140,1,Unknown,64,female,"never married, not cohabiting",True,Unknown,black,False,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 64, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, no high school degree, no GED",137,3,both biological parents,82,male,"married, spouse present",True,urban,white,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 137, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 82, and sex is male, and current marriage status is married, spouse present, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, no high school degree, no GED",145,2,Unknown,70,male,"never married, not cohabiting",False,Unknown,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, high school degree",160,2,"biological mother, marital status unknown",73,male,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, no high school degree, no GED",162,0,"biological mother, marital status unknown",66,male,"never married, not cohabiting",False,urban,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",128,1,"other adults, biological parent status unknown, not group quarters",65,female,"never married, cohabiting",False,Unknown,white,True,"current education status is not enrolled, high school degree, and weight in pounds is 128, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 65, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, high school degree",245,2,both biological parents,68,male,"never married, not cohabiting",False,Unknown,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 245, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, no high school degree, no GED",120,0,both biological parents,65,female,"never married, not cohabiting",True,rural,black,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 120, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is rural, and race is black"
"not enrolled, high school degree",194,1,"biological mother, marital status unknown",74,male,"never married, cohabiting",True,rural,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 194, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is rural, and race is white"
"not enrolled, no high school degree, no GED",165,3,"biological mother, marital status unknown",69,male,"married, spouse present",False,urban,white,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69, and sex is male, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,240,3,both biological parents,72,male,"never married, cohabiting",False,Unknown,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 240, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, GED",165,2,both biological parents,73,male,"never married, not cohabiting",False,urban,white,True,"current education status is not enrolled, GED, and weight in pounds is 165, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, GED",115,0,both biological parents,62,female,"never married, not cohabiting",True,Unknown,white,False,"current education status is not enrolled, GED, and weight in pounds is 115, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is white"
enrolled in a 4-year college,155,1,both biological parents,72,male,"never married, not cohabiting",False,Unknown,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 155, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, no high school degree, no GED",135,3,"biological mother, marital status unknown",70,male,"never married, not cohabiting",True,Unknown,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 135, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, no high school degree, no GED",162,3,"biological mother, marital status unknown",66,female,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"enrolled in grades 1-12, not a high school graduate",145,1,both biological parents,65,male,"never married, not cohabiting",False,rural,black,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is black"
enrolled in a 2-year college,180,1,both biological parents,73,male,"never married, not cohabiting",False,urban,white,False,"current education status is enrolled in a 2-year college, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, some college",185,1,both biological parents,81,male,"never married, not cohabiting",False,Unknown,white,False,"current education status is not enrolled, some college, and weight in pounds is 185, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 81, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, high school degree",170,0,"biological mother, marital status unknown",64,male,"never married, not cohabiting",False,rural,black,False,"current education status is not enrolled, high school degree, and weight in pounds is 170, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is black"
"not enrolled, high school degree",129,2,both biological parents,72,male,"never married, not cohabiting",False,rural,black,False,"current education status is not enrolled, high school degree, and weight in pounds is 129, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is black"
"not enrolled, high school degree",190,1,"biological mother, other parent present",78,male,"never married, not cohabiting",False,rural,black,False,"current education status is not enrolled, high school degree, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 78, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is black"
"not enrolled, no high school degree, no GED",59,1,"biological mother, other parent present",70,male,"never married, not cohabiting",False,rural,black,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 59, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is black"
"not enrolled, no high school degree, no GED",160,1,"biological mother, marital status unknown",71,male,"never married, not cohabiting",False,urban,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, no high school degree, no GED",145,2,"biological mother, marital status unknown",65,male,"never married, not cohabiting",False,urban,black,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, no high school degree, no GED",210,0,"biological mother, marital status unknown",69,male,"never married, not cohabiting",False,urban,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 210, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, 2-year college graduate",162,3,"biological mother, marital status unknown",67,female,"never married, not cohabiting",True,urban,white,True,"current education status is not enrolled, 2-year college graduate, and weight in pounds is 162, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, no high school degree, no GED",198,1,both biological parents,67,male,"never married, not cohabiting",False,urban,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 198, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 67, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, high school degree",165,1,Unknown,72,male,"never married, not cohabiting",False,Unknown,black,True,"current education status is not enrolled, high school degree, and weight in pounds is 165, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, high school degree",165,1,Unknown,72,male,"never married, not cohabiting",True,Unknown,black,False,"current education status is not enrolled, high school degree, and weight in pounds is 165, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, no high school degree, no GED",160,0,Unknown,70,male,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, no high school degree, no GED",56,0,Unknown,78,male,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 56, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 78, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, no high school degree, no GED",165,0,both biological parents,69,male,"never married, not cohabiting",False,urban,black,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, GED",170,2,"biological mother, marital status unknown",74,male,"never married, not cohabiting",False,rural,white,False,"current education status is not enrolled, GED, and weight in pounds is 170, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
enrolled in a 4-year college,155,5,Unknown,73,male,"never married, not cohabiting",False,Unknown,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 155, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, high school degree",140,3,both biological parents,68,male,"never married, not cohabiting",False,Unknown,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, GED",140,6,"other adults, biological parent status unknown, not group quarters",65,female,"never married, not cohabiting",False,urban,black,True,"current education status is not enrolled, GED, and weight in pounds is 140, and number of jobs held in past year is 6, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 65, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, high school degree",162,4,"biological mother, marital status unknown",65,female,"never married, cohabiting",False,Unknown,black,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, no high school degree, no GED",220,1,"biological mother, marital status unknown",74,male,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 220, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, no high school degree, no GED",149,0,"biological mother, marital status unknown",71,male,"never married, not cohabiting",False,Unknown,black,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 149, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, GED",156,2,anything else,67,male,"married, spouse present",True,Unknown,white,False,"current education status is not enrolled, GED, and weight in pounds is 156, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and height in inches is 67, and sex is male, and current marriage status is married, spouse present, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, 4-year college graduate",187,3,"biological mother, marital status unknown",71,male,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, 4-year college graduate, and weight in pounds is 187, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, GED",165,3,"other adults, biological parent status unknown, not group quarters",74,male,"never married, cohabiting",False,Unknown,black,False,"current education status is not enrolled, GED, and weight in pounds is 165, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 74, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"enrolled in grades 1-12, not a high school graduate",142,0,both biological parents,64,female,"never married, not cohabiting",False,Unknown,black,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 142, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 64, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, high school degree",178,1,"biological mother, marital status unknown",66,male,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, high school degree, and weight in pounds is 178, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"enrolled in grades 1-12, not a high school graduate",158,0,"biological dad, marital status unknown",69,male,"never married, not cohabiting",False,urban,black,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 158, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, GED",155,1,"biological mother, marital status unknown",70,male,"never married, not cohabiting",False,urban,black,False,"current education status is not enrolled, GED, and weight in pounds is 155, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, high school degree",185,1,both biological parents,72,male,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 185, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 2-year college,215,2,"biological mother, marital status unknown",68,male,"never married, not cohabiting",False,urban,black,False,"current education status is enrolled in a 2-year college, and weight in pounds is 215, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
enrolled in a 4-year college,212,2,"biological mother, marital status unknown",62,female,"never married, not cohabiting",False,rural,black,False,"current education status is enrolled in a 4-year college, and weight in pounds is 212, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 62, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is black"
"not enrolled, GED",162,1,"biological mother, marital status unknown",71,male,"never married, not cohabiting",True,Unknown,white,False,"current education status is not enrolled, GED, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, high school degree",230,0,"biological mother, marital status unknown",63,female,"never married, not cohabiting",False,rural,black,False,"current education status is not enrolled, high school degree, and weight in pounds is 230, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is black"
"not enrolled, 2-year college graduate",160,2,both biological parents,69,male,"never married, cohabiting",True,Unknown,white,False,"current education status is not enrolled, 2-year college graduate, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, GED",140,3,"biological mother, marital status unknown",71,male,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, GED, and weight in pounds is 140, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,174,1,both biological parents,70,male,"never married, not cohabiting",False,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 174, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, no high school degree, no GED",165,2,"biological mother, marital status unknown",73,male,"never married, not cohabiting",False,rural,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is black"
"not enrolled, high school degree",140,1,both biological parents,65,male,"never married, not cohabiting",False,urban,white,True,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"enrolled in grades 1-12, not a high school graduate",212,0,"biological mother, marital status unknown",69,male,"never married, not cohabiting",False,urban,black,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 212, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
