college02,race,parentrelations,urbanrural,marijuana_anydrug,y_arrestedafter2002,nshot_summary_text
"not enrolled, GED",hispanic,"other adults, biological parent status unknown, not group quarters",Unknown,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",hispanic,"biological mother, marital status unknown",Unknown,marijuana_anydrug,True,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 4-year college,white,both biological parents,urban,,False,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan"
enrolled in a 4-year college,hispanic,"biological dad, marital status unknown",urban,marijuana_anydrug,False,"current education status is enrolled in a 4-year college, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"other adults, biological parent status unknown, not group quarters",urban,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",black,Unknown,Unknown,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 2-year college,black,"biological mother, marital status unknown",urban,,False,"current education status is enrolled in a 2-year college, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan"
"not enrolled, GED",white,"biological mother, marital status unknown",urban,,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan"
"not enrolled, 4-year college graduate",white,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, 4-year college graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, some college",white,both biological parents,urban,marijuana_anydrug,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 4-year college,white,both biological parents,rural,marijuana_anydrug,False,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,both biological parents,urban,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 4-year college,white,both biological parents,urban,marijuana_anydrug,False,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",hispanic,"biological dad, marital status unknown",urban,marijuana_anydrug,True,"current education status is not enrolled, high school degree, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",hispanic,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",hispanic,Unknown,Unknown,,False,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan"
"not enrolled, no high school degree, no GED",white,"biological mother, other parent present",urban,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",hispanic,"biological mother, marital status unknown",urban,marijuana_anydrug,True,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",hispanic,both biological parents,urban,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",hispanic,"biological mother, marital status unknown",urban,,False,"current education status is not enrolled, GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan"
enrolled in a 2-year college,hispanic,both biological parents,urban,,False,"current education status is enrolled in a 2-year college, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan"
"not enrolled, no high school degree, no GED",hispanic,both biological parents,urban,,False,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan"
"enrolled in grades 1-12, not a high school graduate",hispanic,"biological mother, marital status unknown",urban,marijuana_anydrug,True,"current education status is enrolled in grades 1-12, not a high school graduate, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,Unknown,Unknown,marijuana_anydrug,True,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"enrolled in grades 1-12, not a high school graduate",white,both biological parents,urban,marijuana_anydrug,False,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,"biological mother, other parent present",urban,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",hispanic,"biological mother, marital status unknown",rural,marijuana,False,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana"
"not enrolled, high school degree",asian or pacific islander,"biological mother, marital status unknown",urban,marijuana_anydrug,True,"current education status is not enrolled, high school degree, and race is asian or pacific islander, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 4-year college,white,both biological parents,urban,,False,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is nan"
"not enrolled, no high school degree, no GED",hispanic,both biological parents,urban,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 2-year college,white,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is enrolled in a 2-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,"biological dad, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"enrolled in grades 1-12, not a high school graduate",white,both biological parents,urban,marijuana_anydrug,True,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 2-year college,white,both biological parents,urban,marijuana_anydrug,False,"current education status is enrolled in a 2-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,"biological mother, marital status unknown",rural,marijuana_anydrug,True,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",mixed-race,adoptive parent(s),rural,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is mixed-race, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, 4-year college graduate",white,both biological parents,rural,marijuana_anydrug,False,"current education status is not enrolled, 4-year college graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, some college",white,"biological mother, marital status unknown",rural,marijuana_anydrug,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,anything else,rural,marijuana_anydrug,True,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,both biological parents,Unknown,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,"biological mother, marital status unknown",Unknown,,True,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan"
"not enrolled, high school degree",black,Unknown,Unknown,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological mother, other parent present",urban,marijuana_anydrug,True,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,"biological dad, marital status unknown",Unknown,,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan"
"not enrolled, 4-year college graduate",asian or pacific islander,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, 4-year college graduate, and race is asian or pacific islander, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 2-year college,white,"biological mother, marital status unknown",Unknown,marijuana_anydrug,False,"current education status is enrolled in a 2-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",asian or pacific islander,Unknown,Unknown,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is asian or pacific islander, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,both biological parents,urban,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",hispanic,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,"other adults, biological parent status unknown, not group quarters",urban,marijuana_anydrug,True,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",hispanic,"biological mother, marital status unknown",Unknown,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, some college",white,Unknown,Unknown,marijuana_anydrug,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 4-year college,white,both biological parents,rural,marijuana_anydrug,True,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, some college",white,"biological mother, other parent present",urban,marijuana_anydrug,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 2-year college,white,Unknown,Unknown,marijuana_anydrug,False,"current education status is enrolled in a 2-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,"biological dad, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,"biological mother, marital status unknown",Unknown,,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan"
"not enrolled, GED",white,foster parent(s),urban,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is foster parent(s), and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,both biological parents,rural,marijuana_anydrug,True,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,"biological dad, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, some college",white,both biological parents,urban,marijuana_anydrug,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,both biological parents,rural,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 4-year college,white,both biological parents,rural,marijuana_anydrug,False,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,"other adults, biological parent status unknown, not group quarters",rural,marijuana_anydrug,True,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"enrolled in grades 1-12, not a high school graduate",hispanic,"other adults, biological parent status unknown, not group quarters",rural,marijuana_anydrug,True,"current education status is enrolled in grades 1-12, not a high school graduate, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, some college","american indian, eskimo or aleut",both biological parents,rural,,False,"current education status is not enrolled, some college, and race is american indian, eskimo or aleut, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is nan"
"not enrolled, GED","american indian, eskimo or aleut",both biological parents,rural,marijuana_anydrug,True,"current education status is not enrolled, GED, and race is american indian, eskimo or aleut, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,both biological parents,rural,marijuana_anydrug,True,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,both biological parents,Unknown,,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan"
"enrolled in grades 1-12, not a high school graduate",white,"biological mother, marital status unknown",rural,,False,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is nan"
"not enrolled, no high school degree, no GED",white,"biological dad, marital status unknown",rural,,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is nan"
"not enrolled, high school degree",white,Unknown,Unknown,,True,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan"
"not enrolled, high school degree",white,both biological parents,Unknown,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"enrolled in grades 1-12, not a high school graduate",white,Unknown,Unknown,marijuana_anydrug,True,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",black,Unknown,Unknown,,True,"current education status is not enrolled, no high school degree, no GED, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan"
"not enrolled, high school degree",black,Unknown,Unknown,marijuana_anydrug,True,"current education status is not enrolled, high school degree, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological mother, marital status unknown",urban,marijuana_anydrug,True,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological father, other parent present",rural,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological father, other parent present, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,both biological parents,rural,marijuana_anydrug,True,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological mother, marital status unknown",rural,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 2-year college,white,both biological parents,urban,marijuana_anydrug,True,"current education status is enrolled in a 2-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,both biological parents,rural,marijuana_anydrug,True,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 4-year college,white,"biological mother, marital status unknown",rural,marijuana_anydrug,False,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,"other adults, biological parent status unknown, not group quarters",rural,,True,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is nan"
"not enrolled, high school degree",white,both biological parents,rural,,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is nan"
"not enrolled, high school degree",white,"biological mother, other parent present",rural,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological mother, other parent present",rural,marijuana_anydrug,True,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"enrolled in grades 1-12, not a high school graduate",white,"biological mother, marital status unknown",rural,marijuana_anydrug,False,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"enrolled in grades 1-12, not a high school graduate",white,"biological mother, marital status unknown",rural,marijuana_anydrug,True,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological mother, marital status unknown",rural,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,"biological dad, marital status unknown",Unknown,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"other adults, biological parent status unknown, not group quarters",urban,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"enrolled in grades 1-12, not a high school graduate",white,both biological parents,rural,marijuana_anydrug,False,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",hispanic,both biological parents,rural,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, GED",white,"biological mother, marital status unknown",rural,marijuana_anydrug,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, some college",white,both biological parents,rural,,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is nan"
"not enrolled, high school degree",white,both biological parents,rural,,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is nan"
"not enrolled, no high school degree, no GED",white,"biological mother, marital status unknown",Unknown,marijuana_anydrug,True,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological mother, marital status unknown",Unknown,,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan"
