college02,num_weight,experience02,parentrelations,height_total_inches,y_arrestedafter2002,nshot_summary_text
"not enrolled, some college",164,3,"biological mother, marital status unknown",69,False,"current education status is not enrolled, some college, and weight in pounds is 164, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69"
"not enrolled, no high school degree, no GED",190,0,"biological dad, marital status unknown",73,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 190, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 73"
"not enrolled, no high school degree, no GED",170,2,"biological dad, marital status unknown",70,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 170, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 70"
"not enrolled, some college",145,3,"biological mother, marital status unknown",63,False,"current education status is not enrolled, some college, and weight in pounds is 145, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63"
"not enrolled, GED",202,2,both biological parents,66,True,"current education status is not enrolled, GED, and weight in pounds is 202, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
"not enrolled, GED",117,0,"biological mother, marital status unknown",64,False,"current education status is not enrolled, GED, and weight in pounds is 117, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, GED",168,0,both biological parents,71,True,"current education status is not enrolled, GED, and weight in pounds is 168, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
enrolled in a 4-year college,130,3,"biological mother, marital status unknown",62,False,"current education status is enrolled in a 4-year college, and weight in pounds is 130, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 62"
"not enrolled, no high school degree, no GED",120,3,"biological mother, marital status unknown",64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 120, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, some college",212,0,Unknown,66,False,"current education status is not enrolled, some college, and weight in pounds is 212, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",210,3,"biological mother, marital status unknown",71,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 210, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, GED",152,1,"biological mother, marital status unknown",71,False,"current education status is not enrolled, GED, and weight in pounds is 152, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, GED",189,0,"biological mother, marital status unknown",64,False,"current education status is not enrolled, GED, and weight in pounds is 189, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, no high school degree, no GED",120,3,"biological mother, marital status unknown",62,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 120, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 62"
enrolled in a 2-year college,185,2,both biological parents,67,False,"current education status is enrolled in a 2-year college, and weight in pounds is 185, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 67"
"not enrolled, some college",165,1,both biological parents,72,False,"current education status is not enrolled, some college, and weight in pounds is 165, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
"not enrolled, some college",130,3,"other adults, biological parent status unknown, not group quarters",66,True,"current education status is not enrolled, some college, and weight in pounds is 130, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 66"
"not enrolled, GED",187,1,"biological mother, marital status unknown",72,False,"current education status is not enrolled, GED, and weight in pounds is 187, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, high school degree",187,0,both biological parents,73,False,"current education status is not enrolled, high school degree, and weight in pounds is 187, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73"
"enrolled in grades 1-12, not a high school graduate",160,0,"biological mother, marital status unknown",66,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 160, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, GED",205,2,"biological mother, marital status unknown",74,True,"current education status is not enrolled, GED, and weight in pounds is 205, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, no high school degree, no GED",170,0,"biological mother, marital status unknown",78,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 170, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 78"
"not enrolled, no high school degree, no GED",180,2,"biological mother, marital status unknown",68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, no high school degree, no GED",195,1,"other adults, biological parent status unknown, not group quarters",68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 195, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 68"
"not enrolled, no high school degree, no GED",165,0,both biological parents,71,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
"enrolled in grades 1-12, not a high school graduate",220,1,"biological father, other parent present",77,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 220, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological father, other parent present, and height in inches is 77"
"not enrolled, GED",171,3,"biological mother, marital status unknown",64,True,"current education status is not enrolled, GED, and weight in pounds is 171, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, no high school degree, no GED",212,1,"biological mother, marital status unknown",72,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 212, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, high school degree",145,1,"biological mother, marital status unknown",71,False,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, high school degree",190,1,"biological mother, other parent present",66,False,"current education status is not enrolled, high school degree, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 66"
enrolled in a 2-year college,118,3,both biological parents,65,True,"current education status is enrolled in a 2-year college, and weight in pounds is 118, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65"
enrolled in a 4-year college,115,1,"biological mother, marital status unknown",65,False,"current education status is enrolled in a 4-year college, and weight in pounds is 115, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65"
"not enrolled, no high school degree, no GED",350,1,"biological dad, marital status unknown",76,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 350, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 76"
"not enrolled, no high school degree, no GED",180,1,both biological parents,69,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, GED",180,2,"other adults, biological parent status unknown, not group quarters",69,False,"current education status is not enrolled, GED, and weight in pounds is 180, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 69"
"not enrolled, no high school degree, no GED",140,1,"biological mother, marital status unknown",63,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63"
enrolled in a 4-year college,145,5,both biological parents,66,False,"current education status is enrolled in a 4-year college, and weight in pounds is 145, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
enrolled in a 4-year college,135,0,"biological dad, marital status unknown",69,False,"current education status is enrolled in a 4-year college, and weight in pounds is 135, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 69"
"not enrolled, no high school degree, no GED",270,3,"other adults, biological parent status unknown, not group quarters",66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 270, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 66"
"not enrolled, high school degree",170,0,Unknown,76,False,"current education status is not enrolled, high school degree, and weight in pounds is 170, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 76"
enrolled in a 2-year college,220,1,"biological mother, marital status unknown",78,False,"current education status is enrolled in a 2-year college, and weight in pounds is 220, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 78"
"not enrolled, GED",120,3,"biological mother, marital status unknown",68,False,"current education status is not enrolled, GED, and weight in pounds is 120, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, 4-year college graduate",117,5,"biological mother, marital status unknown",64,False,"current education status is not enrolled, 4-year college graduate, and weight in pounds is 117, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, some college",140,3,both biological parents,72,False,"current education status is not enrolled, some college, and weight in pounds is 140, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
enrolled in a 4-year college,137,4,both biological parents,65,False,"current education status is enrolled in a 4-year college, and weight in pounds is 137, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65"
"not enrolled, high school degree",155,2,both biological parents,69,False,"current education status is not enrolled, high school degree, and weight in pounds is 155, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
enrolled in a 4-year college,137,3,both biological parents,61,False,"current education status is enrolled in a 4-year college, and weight in pounds is 137, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 61"
"not enrolled, high school degree",137,4,"biological dad, marital status unknown",64,True,"current education status is not enrolled, high school degree, and weight in pounds is 137, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 64"
"not enrolled, GED",159,2,"biological mother, marital status unknown",71,False,"current education status is not enrolled, GED, and weight in pounds is 159, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, no high school degree, no GED",270,3,Unknown,67,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 270, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 67"
"not enrolled, no high school degree, no GED",135,4,"biological mother, other parent present",67,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 135, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 67"
"not enrolled, no high school degree, no GED",250,0,"biological mother, marital status unknown",82,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 250, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 82"
"not enrolled, high school degree",162,2,both biological parents,73,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73"
"not enrolled, GED",155,1,"biological mother, marital status unknown",64,False,"current education status is not enrolled, GED, and weight in pounds is 155, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
enrolled in a 2-year college,224,1,both biological parents,70,False,"current education status is enrolled in a 2-year college, and weight in pounds is 224, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
"not enrolled, no high school degree, no GED",130,1,both biological parents,63,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 130, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 63"
"enrolled in grades 1-12, not a high school graduate",300,0,"biological mother, marital status unknown",74,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 300, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, no high school degree, no GED",122,1,Unknown,65,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 122, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65"
"enrolled in grades 1-12, not a high school graduate",156,3,both biological parents,74,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 156, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 74"
"not enrolled, high school degree",105,1,"biological mother, other parent present",63,False,"current education status is not enrolled, high school degree, and weight in pounds is 105, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 63"
"not enrolled, no high school degree, no GED",162,1,"biological mother, marital status unknown",66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, high school degree",130,1,"biological mother, marital status unknown",68,True,"current education status is not enrolled, high school degree, and weight in pounds is 130, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
enrolled in a 4-year college,180,1,both biological parents,70,False,"current education status is enrolled in a 4-year college, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
"not enrolled, no high school degree, no GED",212,1,both biological parents,68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 212, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
enrolled in a 2-year college,120,3,"biological mother, marital status unknown",64,False,"current education status is enrolled in a 2-year college, and weight in pounds is 120, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, GED",187,1,"biological dad, marital status unknown",67,False,"current education status is not enrolled, GED, and weight in pounds is 187, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 67"
"enrolled in grades 1-12, not a high school graduate",140,0,both biological parents,69,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
enrolled in a 2-year college,110,3,both biological parents,61,False,"current education status is enrolled in a 2-year college, and weight in pounds is 110, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 61"
"not enrolled, GED",144,3,"biological mother, marital status unknown",71,True,"current education status is not enrolled, GED, and weight in pounds is 144, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, high school degree",162,0,adoptive parent(s),66,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 66"
"not enrolled, 4-year college graduate",130,3,both biological parents,65,False,"current education status is not enrolled, 4-year college graduate, and weight in pounds is 130, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65"
"not enrolled, some college",135,3,"biological mother, marital status unknown",66,False,"current education status is not enrolled, some college, and weight in pounds is 135, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",162,1,anything else,70,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and height in inches is 70"
"not enrolled, high school degree",190,0,both biological parents,70,False,"current education status is not enrolled, high school degree, and weight in pounds is 190, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
"not enrolled, high school degree",171,1,"biological mother, marital status unknown",70,True,"current education status is not enrolled, high school degree, and weight in pounds is 171, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
"not enrolled, high school degree",237,2,Unknown,73,False,"current education status is not enrolled, high school degree, and weight in pounds is 237, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 73"
"not enrolled, no high school degree, no GED",160,1,"biological mother, other parent present",70,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 70"
"not enrolled, GED",145,1,"biological dad, marital status unknown",73,False,"current education status is not enrolled, GED, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 73"
"not enrolled, 4-year college graduate",187,3,"biological mother, marital status unknown",70,False,"current education status is not enrolled, 4-year college graduate, and weight in pounds is 187, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
enrolled in a 2-year college,272,1,"biological mother, marital status unknown",64,False,"current education status is enrolled in a 2-year college, and weight in pounds is 272, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, no high school degree, no GED",140,0,Unknown,67,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 67"
"not enrolled, GED",237,1,both biological parents,71,False,"current education status is not enrolled, GED, and weight in pounds is 237, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
"not enrolled, GED",130,0,"biological mother, marital status unknown",59,False,"current education status is not enrolled, GED, and weight in pounds is 130, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 59"
"not enrolled, high school degree",160,2,"other adults, biological parent status unknown, not group quarters",74,True,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 74"
"not enrolled, high school degree",230,3,"biological mother, marital status unknown",71,False,"current education status is not enrolled, high school degree, and weight in pounds is 230, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, some college",210,3,Unknown,83,False,"current education status is not enrolled, some college, and weight in pounds is 210, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 83"
enrolled in a 4-year college,190,0,both biological parents,69,True,"current education status is enrolled in a 4-year college, and weight in pounds is 190, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, some college",260,5,"biological mother, other parent present",74,False,"current education status is not enrolled, some college, and weight in pounds is 260, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 74"
enrolled in a 2-year college,163,1,Unknown,73,False,"current education status is enrolled in a 2-year college, and weight in pounds is 163, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 73"
"not enrolled, high school degree",130,2,"biological dad, marital status unknown",66,False,"current education status is not enrolled, high school degree, and weight in pounds is 130, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 66"
"not enrolled, high school degree",220,2,"biological mother, marital status unknown",70,False,"current education status is not enrolled, high school degree, and weight in pounds is 220, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
"not enrolled, GED",146,1,foster parent(s),71,False,"current education status is not enrolled, GED, and weight in pounds is 146, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is foster parent(s), and height in inches is 71"
"not enrolled, GED",140,2,both biological parents,69,True,"current education status is not enrolled, GED, and weight in pounds is 140, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, GED",250,1,"biological dad, marital status unknown",73,False,"current education status is not enrolled, GED, and weight in pounds is 250, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 73"
"not enrolled, some college",180,7,both biological parents,72,False,"current education status is not enrolled, some college, and weight in pounds is 180, and number of jobs held in past year is 7, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
"not enrolled, GED",160,2,both biological parents,72,False,"current education status is not enrolled, GED, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
enrolled in a 4-year college,106,3,both biological parents,62,False,"current education status is enrolled in a 4-year college, and weight in pounds is 106, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62"
"not enrolled, GED",170,0,"other adults, biological parent status unknown, not group quarters",70,True,"current education status is not enrolled, GED, and weight in pounds is 170, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 70"
"enrolled in grades 1-12, not a high school graduate",118,0,"other adults, biological parent status unknown, not group quarters",62,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 118, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 62"
"not enrolled, some college",235,4,both biological parents,71,False,"current education status is not enrolled, some college, and weight in pounds is 235, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
"not enrolled, GED",127,1,both biological parents,68,True,"current education status is not enrolled, GED, and weight in pounds is 127, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
"not enrolled, high school degree",162,4,both biological parents,67,True,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 67"
"not enrolled, high school degree",210,3,both biological parents,62,False,"current education status is not enrolled, high school degree, and weight in pounds is 210, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62"
"enrolled in grades 1-12, not a high school graduate",160,2,"biological mother, marital status unknown",72,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, no high school degree, no GED",137,2,"biological dad, marital status unknown",63,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 137, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 63"
"not enrolled, high school degree",165,1,Unknown,69,True,"current education status is not enrolled, high school degree, and weight in pounds is 165, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69"
"not enrolled, high school degree",240,2,both biological parents,68,False,"current education status is not enrolled, high school degree, and weight in pounds is 240, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
"enrolled in grades 1-12, not a high school graduate",145,0,Unknown,74,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 145, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 74"
"not enrolled, no high school degree, no GED",195,2,Unknown,74,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 195, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 74"
"not enrolled, high school degree",162,1,Unknown,65,True,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65"
"not enrolled, no high school degree, no GED",98,1,"biological mother, marital status unknown",61,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 98, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 61"
"not enrolled, no high school degree, no GED",140,5,"biological father, other parent present",69,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is biological father, other parent present, and height in inches is 69"
"not enrolled, high school degree",187,3,both biological parents,73,True,"current education status is not enrolled, high school degree, and weight in pounds is 187, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73"
"not enrolled, no high school degree, no GED",234,3,"biological mother, marital status unknown",73,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 234, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
enrolled in a 2-year college,135,1,both biological parents,62,True,"current education status is enrolled in a 2-year college, and weight in pounds is 135, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62"
"not enrolled, GED",190,5,both biological parents,70,True,"current education status is not enrolled, GED, and weight in pounds is 190, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
enrolled in a 4-year college,140,6,"biological mother, marital status unknown",62,False,"current education status is enrolled in a 4-year college, and weight in pounds is 140, and number of jobs held in past year is 6, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 62"
